rank,symbol,strategy,variant,timeframe,trades,win_rate,net_profit,return_percent,cost_10bps_net_profit,cost_10bps_return_percent,profit_factor,cost_10bps_profit_factor,expectancy_r,max_drawdown,max_loss_streak,top3_profit_percent,volume_filter,score
17,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop0.7_target3_hold8_long_only_volume>1.4xSMA30,1h,46,63.04,8549.22,85.49,7734.03,77.34,4.24,3.62,1.370,-815.29,5,18.53,volume>1.4xSMA30,128.91
18,XRPUSDT,range_expansion_breakout,ch20_rng0.9_stop1_target3_hold32_all_none,1h,116,38.79,8525.67,85.26,6560.03,65.60,1.85,1.59,0.552,-946.50,7,18.81,none,41.94
19,XRPUSDT,range_expansion_breakout,ch20_rng0.9_stop1_target3_hold64_all_none,1h,116,38.79,8525.67,85.26,6560.03,65.60,1.85,1.59,0.552,-946.50,7,18.81,none,41.94
20,WIFUSDT,liquidity_reclaim_reversal,sweep12_rsi14_stop0.5_target2_hold16_all_none,1h,280,44.64,8479.88,84.80,4447.57,44.48,1.38,1.18,0.229,-2811.36,10,13.78,none,-30.02
21,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop0.7_target3_hold32_long_only_volume>1.4xSMA30,1h,46,58.70,8351.59,83.52,7537.39,75.37,3.81,3.27,1.348,-1143.62,7,18.83,volume>1.4xSMA30,93.14
22,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop0.7_target3_hold64_long_only_volume>1.4xSMA30,1h,46,58.70,8351.59,83.52,7537.39,75.37,3.81,3.27,1.348,-1143.62,7,18.83,volume>1.4xSMA30,93.14
23,PEPEUSDT,range_expansion_breakout,ch12_rng1.1_stop0.7_target3_hold16_long_only_volume>1.4xSMA30,1h,52,55.77,8211.74,82.12,7274.41,72.74,3.24,2.77,1.179,-1484.54,9,19.20,volume>1.4xSMA30,53.37
24,PEPEUSDT,range_expansion_breakout,ch12_rng1.1_stop0.7_target3_hold8_long_only_volume>1.4xSMA30,1h,52,57.69,8169.32,81.69,7233.81,72.34,3.34,2.86,1.173,-1152.38,7,19.19,volume>1.4xSMA30,79.90
25,WIFUSDT,liquidity_reclaim_reversal,sweep12_rsi14_stop0.5_target2.5_hold8_all_none,1h,283,42.05,8095.99,80.96,4207.60,42.08,1.39,1.18,0.221,-1894.82,10,17.19,none,-30.12
26,PEPEUSDT,range_expansion_breakout,ch20_rng0.9_stop0.7_target3_hold16_long_only_volume>1.4xSMA30,1h,49,57.14,8040.31,80.40,7162.36,71.62,3.45,2.94,1.231,-1300.53,8,19.23,volume>1.4xSMA30,68.89
