rank,symbol,strategy,variant,timeframe,trades,win_rate,net_profit,return_percent,cost_10bps_net_profit,cost_10bps_return_percent,profit_factor,cost_10bps_profit_factor,expectancy_r,max_drawdown,max_loss_streak,top3_profit_percent,volume_filter,score
123,WIFUSDT,atr_squeeze_continuation,ch55_cmp0.7_stop1.5_target2_hold24_all_none,1h,11,81.82,1524.55,15.25,1448.47,14.48,7.88,7.11,1.305,-221.60,2,43.68,none,148.66
124,BNBUSDT,atr_squeeze_continuation,ch20_cmp0.85_stop2_target2_hold48_short_only_none,1h,11,81.82,1713.10,17.13,1574.49,15.74,8.57,7.03,1.455,-113.72,1,39.57,none,148.33
125,BNBUSDT,atr_squeeze_continuation,ch20_cmp0.85_stop2_target2_hold96_short_only_none,1h,11,81.82,1713.10,17.13,1574.49,15.74,8.57,7.03,1.455,-113.72,1,39.57,none,148.33
126,BNBUSDT,atr_squeeze_continuation,ch20_cmp0.85_stop1.1_target1.5_hold12_short_only_none,1h,15,86.67,1894.03,18.94,1571.36,15.71,10.02,6.67,1.167,-109.87,1,27.43,none,147.28
127,BNBUSDT,atr_squeeze_continuation,ch20_cmp0.85_stop1.1_target1.5_hold24_short_only_none,1h,15,86.67,1894.03,18.94,1571.36,15.71,10.02,6.67,1.167,-109.87,1,27.43,none,147.28
128,BNBUSDT,atr_squeeze_continuation,ch20_cmp0.85_stop1.1_target1.5_hold48_short_only_none,1h,15,86.67,1894.03,18.94,1571.36,15.71,10.02,6.67,1.167,-109.87,1,27.43,none,147.28
129,BNBUSDT,atr_squeeze_continuation,ch20_cmp0.85_stop1.1_target1.5_hold96_short_only_none,1h,15,86.67,1894.03,18.94,1571.36,15.71,10.02,6.67,1.167,-109.87,1,27.43,none,147.28
130,BNBUSDT,atr_squeeze_continuation,ch20_cmp0.85_stop1.5_target1.5_hold24_short_only_none,1h,14,85.71,1718.25,17.18,1495.93,14.96,9.19,6.77,1.143,-109.87,1,29.79,none,147.04
131,BNBUSDT,atr_squeeze_continuation,ch20_cmp0.85_stop1.5_target1.5_hold48_short_only_none,1h,14,85.71,1718.25,17.18,1495.93,14.96,9.19,6.77,1.143,-109.87,1,29.79,none,147.04
132,BNBUSDT,atr_squeeze_continuation,ch20_cmp0.85_stop1.5_target1.5_hold96_short_only_none,1h,14,85.71,1718.25,17.18,1495.93,14.96,9.19,6.77,1.143,-109.87,1,29.79,none,147.04
133,BNBUSDT,atr_squeeze_continuation,ch20_cmp0.85_stop1.1_target3.5_hold48_short_only_none,1h,11,72.73,2776.98,27.77,2517.58,25.18,9.21,6.60,2.273,-120.48,1,45.26,none,146.85
134,BNBUSDT,atr_squeeze_continuation,ch20_cmp0.85_stop1.1_target3.5_hold96_short_only_none,1h,11,72.73,2776.98,27.77,2517.58,25.18,9.21,6.60,2.273,-120.48,1,45.26,none,146.85
135,WIFUSDT,atr_squeeze_continuation,ch55_cmp0.7_stop1.1_target3.5_hold12_all_none,1h,11,72.73,2060.74,20.61,1959.02,19.59,7.53,6.77,1.738,-199.00,2,57.35,none,145.44
136,WIFUSDT,atr_squeeze_continuation,ch36_cmp0.7_stop2_target1.5_hold24_all_none,1h,8,87.50,773.71,7.74,732.58,7.33,8.22,7.46,0.940,-107.22,1,61.18,none,144.60
137,BNBUSDT,atr_squeeze_continuation,ch36_cmp0.85_stop1.1_target2.5_hold12_short_only_none,1h,11,81.82,1822.75,18.23,1595.97,15.96,9.19,6.84,1.544,-112.08,1,46.25,none,143.76
138,BNBUSDT,atr_squeeze_continuation,ch20_cmp0.85_stop1.1_target3.5_hold24_short_only_none,1h,11,72.73,2720.51,27.21,2461.83,24.62,9.07,6.49,2.231,-119.95,1,46.00,none,143.61
139,BNBUSDT,atr_squeeze_continuation,ch55_cmp0.85_stop2_target3.5_hold24_short_only_none,1h,11,72.73,1715.35,17.15,1591.00,15.91,8.42,6.84,1.464,-113.77,1,63.38,none,143.56
140,BNBUSDT,atr_squeeze_continuation,ch20_cmp0.85_stop1.5_target2.5_hold12_short_only_none,1h,12,83.33,1678.91,16.79,1487.83,14.88,9.06,6.78,1.310,-108.42,1,49.50,none,143.11
