rank,symbol,strategy,variant,timeframe,trades,win_rate,net_profit,return_percent,cost_10bps_net_profit,cost_10bps_return_percent,profit_factor,cost_10bps_profit_factor,expectancy_r,max_drawdown,max_loss_streak,top3_profit_percent,volume_filter,score
511,BNBUSDT,atr_squeeze_continuation,ch20_cmp1_stop1.5_target2.5_hold48_short_only_none,1h,36,50.00,3015.57,30.16,2503.85,25.04,2.44,2.06,0.750,-570.98,5,31.23,none,38.12
512,BNBUSDT,atr_squeeze_continuation,ch20_cmp1_stop1.5_target2.5_hold96_short_only_none,1h,36,50.00,3015.57,30.16,2503.85,25.04,2.44,2.06,0.750,-570.98,5,31.23,none,38.12
513,SOLUSDT,range_expansion_breakout,ch12_rng1.35_stop1.7_target2_hold32_all_none,1h,99,44.44,3750.40,37.50,2894.78,28.95,1.58,1.42,0.333,-579.53,4,21.45,none,37.95
514,XRPUSDT,range_expansion_breakout,ch20_rng1.1_stop1.7_target2_hold16_all_none,1h,95,48.42,4543.40,45.43,3692.29,36.92,1.80,1.61,0.405,-868.55,5,18.38,none,37.94
515,PEPEUSDT,range_expansion_breakout,ch36_rng1.1_stop0.7_target1.5_hold8_long_only_none,1h,49,63.27,3239.78,32.40,2579.47,25.79,2.46,2.04,0.582,-832.44,5,18.10,none,37.72
516,PEPEUSDT,range_expansion_breakout,ch36_rng1.1_stop0.7_target1.5_hold16_long_only_none,1h,49,63.27,3239.78,32.40,2579.47,25.79,2.46,2.04,0.582,-832.44,5,18.10,none,37.72
517,PEPEUSDT,range_expansion_breakout,ch36_rng1.1_stop0.7_target1.5_hold32_long_only_none,1h,49,63.27,3239.78,32.40,2579.47,25.79,2.46,2.04,0.582,-832.44,5,18.10,none,37.72
518,PEPEUSDT,range_expansion_breakout,ch36_rng1.1_stop0.7_target1.5_hold64_long_only_none,1h,49,63.27,3239.78,32.40,2579.47,25.79,2.46,2.04,0.582,-832.44,5,18.10,none,37.72
519,BNBUSDT,atr_squeeze_continuation,ch20_cmp1_stop0.8_target3.5_hold24_short_only_volume>1.25xSMA30,1h,28,46.43,3224.26,32.24,2445.44,24.45,2.77,2.07,1.027,-596.43,5,40.89,volume>1.25xSMA30,37.71
520,XRPUSDT,range_expansion_breakout,ch20_rng1.35_stop1.7_target2.5_hold32_all_none,1h,72,44.44,4066.15,40.66,3422.82,34.23,1.87,1.68,0.489,-677.03,5,24.87,none,37.66
